Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
49.48,0.0181746,0.000367312,0.039467879,0.0,0.0,0.0,0.0
50.39,0.0058376,0.000115853,0.040098937,0.0,0.0,0.0,0.0
50.68,0.0082527,0.000162832,0.039910166,0.0,0.0,0.0,0.0
51.10,-0.000881,-1.72393E-05,0.039485864,0.0,0.0,0.0,0.0
51.06,-0.0208294,-0.000407961,0.039456836,0.0,0.0,0.0,0.0
50.01,0.0060809,0.000121605,0.039724435,0.0,0.0,0.0,0.0
50.31,0.0098401,0.00019559,0.03895212,0.0,0.0,0.0,0.0
50.81,-0.007309,-0.000143857,0.039267088,0.0,0.0,0.0,0.0
50.44,0.0076534,0.000151741,0.039101549,0.0,0.0,0.0,0.0
50.83,0.0093511,0.000183987,0.038960502,0.0,0.0,0.0,0.0
51.30,-0.0034659,-6.75575E-05,0.038783416,0.0,0.0,0.0,0.0
51.13,-0.0056393,-0.000110305,0.038830102,0.0,0.0,0.0,0.0
50.84,0.0112957,0.000222192,0.03836674,0.0,0.0,0.0,0.0
51.42,-0.0150401,-0.000292523,0.037645406,0.0,0.0,0.0,0.0
50.65,0.0225968,0.000446158,0.037597482,0.0,0.0,0.0,0.0
51.81,0.0077874,0.000150321,0.037711255,0.0,0.0,0.0,0.0
52.21,-0.0008144,-1.55976E-05,0.037814794,0.0,0.0,0.0,0.0
52.17,-0.0079386,-0.000152176,0.0376598,0.0,0.0,0.0,0.0
51.76,0.0034719,6.70832E-05,0.037129596,0.0,0.0,0.0,0.0
51.94,0.0092953,0.000178979,0.036968651,0.0,0.0,0.0,0.0
52.42,-0.0043015,-8.20582E-05,0.035295625,0.0,0.0,0.0,0.0
52.20,0.0201989,0.000386989,0.027455152,0.0,0.0,0.0,0.0
53.26,-0.0218767,-0.000410753,0.02562656,0.0,0.0,0.0,0.0
52.11,-0.0213852,-0.000410406,0.031021092,0.0,0.0,0.0,0.0
51.01,-0.0537677,-0.001054166,0.034785154,0.0,0.0,0.0,0.0
48.34,0.0187534,0.000387989,0.03436669,0.0,0.0,0.0,0.0
49.25,0.0103021,0.000209179,0.035199114,0.0,0.0,0.0,0.0
49.76,0.0218162,0.000438428,0.035009389,0.0,0.0,0.0,0.0
