Date,Close,return,P/E,β
4/27/21,$134.39,-0.0060455,-4.49845E-05,0.227706118
4/28/21,$133.58,-0.0007489,-5.60634E-06,0.226956662
4/29/21,$133.48,-0.015249,-0.000114242,0.227033235
4/30/21,$131.46,0.0081819,6.22384E-05,0.225680614
5/3/21,$132.54,-0.0360268,-0.000271818,0.225387945
5/4/21,$127.85,0.0019535,1.52797E-05,0.224428504
5/5/21,$128.10,0.0127212,9.93071E-05,0.224161534
5/6/21,$129.74,0.0036161,2.78718E-05,0.222212213
5/7/21,$130.21,-0.0261432,-0.000200778,0.22213408
5/10/21,$126.85,-0.0074379,-5.86356E-05,0.22082171
5/11/21,$125.91,-0.0252547,-0.000200577,0.221447433
5/12/21,$122.77,0.017761,0.000144669,0.221206607
5/13/21,$124.97,0.0196504,0.000157241,0.221193436
5/14/21,$127.45,-0.0093017,-7.29828E-05,0.221688729
5/17/21,$126.27,-0.0113095,-8.95657E-05,0.221281491
5/18/21,$124.85,-0.0012824,-1.02712E-05,0.221053301
5/19/21,$124.69,0.0207944,0.000166769,0.2208958
5/20/21,$127.31,-0.0148772,-0.000116858,0.22023035
5/21/21,$125.43,0.0132263,0.000105448,0.219951043
5/24/21,$127.10,-0.0015748,-1.23903E-05,0.219622909
5/25/21,$126.90,-0.0003941,-3.10551E-06,0.219403017
5/26/21,$126.85,-0.0124541,-9.81794E-05,0.218941977
5/27/21,$125.28,-0.0053624,-4.28031E-05,0.218706953
5/28/21,$124.61,-0.0026518,-2.12806E-05,0.218657709
6/1/21,$124.28,0.0062565,5.03423E-05,0.218572025
6/2/21,$125.06,-0.0122286,-9.77821E-05,0.218174283
6/3/21,$123.54,0.0188435,0.00015253,0.21787872
6/4/21,$125.89,7.943E-05,6.30958E-07,0.217636782
6/7/21,$125.90,0.0066498,5.28181E-05,0.217405522
6/8/21,$126.74,0.0030724,2.42421E-05,0.217259075
6/9/21,$127.13,-0.0080556,-6.33654E-05,0.217057365
6/10/21,$126.11,0.0097847,7.75883E-05,0.217178483
6/11/21,$127.35,0.0242808,0.000190662,0.216922706
6/14/21,$130.48,-0.0064586,-4.94986E-05,0.216727594
6/15/21,$129.64,0.0039263,3.02858E-05,0.216681965
6/16/21,$130.15,0.0125221,9.62129E-05,0.217380152
6/17/21,$131.79,-0.0101431,-7.6964E-05,0.218331813
6/18/21,$130.46,0.0140054,0.000107354,0.218490168
6/21/21,$132.30,0.0126185,9.53777E-05,0.218296367
6/22/21,$133.98,-0.0020921,-1.56147E-05,0.21782793
6/23/21,$133.70,-0.0021714,-1.62408E-05,0.217493582
6/24/21,$133.41,-0.0022512,-1.68746E-05,0.216666686
6/25/21,$133.11,0.012468,9.36666E-05,0.216492915
6/28/21,$134.78,0.0114346,8.4839E-05,0.21614617
6/29/21,$136.33,0.0046105,3.38186E-05,0.215851861
6/30/21,$136.96,0.0022609,1.65076E-05,0.215374835
7/1/21,$137.27,0.0194069,0.000141377,0.214917647
7/2/21,$139.96,0.0146112,0.000104396,0.214575156
7/6/21,$142.02,0.0177959,0.000125306,0.214517832
7/7/21,$144.57,-0.0092423,-6.39294E-05,0.214838235
7/8/21,$143.24,0.0129705,9.0551E-05,0.21462433
7/9/21,$145.11,-0.0042126,-2.90302E-05,0.21409475
7/12/21,$144.50,0.0078583,5.43828E-05,0.21373815
7/13/21,$145.64,0.0238147,0.000163517,0.213345354
7/14/21,$149.15,-0.0045022,-3.0186E-05,0.213239329
7/15/21,$148.48,-0.014176,-9.5474E-05,0.213612944
7/16/21,$146.39,-0.0272832,-0.000186374,0.213328035
7/19/21,$142.45,0.0256424,0.00018001,0.212678598
7/20/21,$146.15,-0.0051449,-3.52031E-05,0.212189011
7/21/21,$145.40,0.0095826,6.59048E-05,0.212580684
7/22/21,$146.80,0.0119178,8.11839E-05,0.212245914
7/23/21,$148.56,0.0028903,1.94553E-05,0.212805913
7/26/21,$148.99,-0.0150125,-0.000100761,0.212190607
7/27/21,$146.77,-0.0122709,-8.36066E-05,0.211863541
7/28/21,$144.98,0.004542,3.13286E-05,0.211592446
7/29/21,$145.64,0.0015094,1.03641E-05,0.21115427
7/30/21,$145.86,-0.0023337,-1.59997E-05,0.211258265
8/2/21,$145.52,0.012565,8.63458E-05,0.210909016
8/3/21,$147.36,-0.0027862,-1.89073E-05,0.210675029
8/4/21,$146.95,0.0007483,5.09203E-06,0.210133458
8/5/21,$147.06,-0.0062756,-4.26737E-05,0.209930164
8/6/21,$146.14,-0.0003422,-2.34156E-06,0.209548614
8/9/21,$146.09,-0.0033597,-2.29977E-05,0.209297932
8/10/21,$145.60,0.0017841,1.22536E-05,0.209707881
8/11/21,$145.86,0.0205605,0.000140961,0.209441941
8/12/21,$148.89,0.0014094,9.46634E-06,0.208891695
8/13/21,$149.10,0.013457,9.02549E-05,0.208868969
8/16/21,$151.12,-0.0061731,-4.08488E-05,0.20938868
8/17/21,$150.19,-0.0258318,-0.000171994,0.209203472
8/18/21,$146.36,0.0023203,1.58537E-05,0.20927067
8/19/21,$146.70,0.0101055,6.88858E-05,0.208460754
8/20/21,$148.19,0.0102049,6.88633E-05,0.208229571
8/23/21,$149.71,-0.0006013,-4.01672E-06,0.207971906
8/24/21,$149.62,-0.008457,-5.65232E-05,0.207781635
8/25/21,$148.36,-0.0055424,-3.7358E-05,0.207550223
8/26/21,$147.54,0.0071588,4.85211E-05,0.206543491
8/27/21,$148.60,0.0299638,0.000201641,0.205896768
8/30/21,$153.12,-0.0084605,-5.52537E-05,0.205700228
8/31/21,$151.83,0.0044687,2.94322E-05,0.20549667
9/1/21,$152.51,0.0074471,4.88304E-05,0.205162616
9/2/21,$153.65,0.0042215,2.74746E-05,0.204167514
9/3/21,$154.30,0.0153706,9.96149E-05,0.203577699
9/7/21,$156.69,-0.0101348,-6.46805E-05,0.203433289
9/8/21,$155.11,-0.0067275,-4.33724E-05,0.202004515
9/9/21,$154.07,-0.0336621,-0.000218486,0.201676285
9/10/21,$148.97,0.0038858,2.60847E-05,0.20146761
9/13/21,$149.55,-0.009608,-6.42463E-05,0.201182363
9/14/21,$148.12,0.0061249,4.13507E-05,0.200942912
9/15/21,$149.03,-0.0016117,-1.08147E-05,0.200742321
9/16/21,$148.79,-0.0185184,-0.00012446,0.201303434
